,nombre,categoria,seccion,descripcion,dimensiones,imagen
0,ALF1,Alfombra,Arabe  ,Alfombra persa marrón (tiene unas manchas que no se quitan).,460x340x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALF1/ALF1-720x540.png
1,ADO1,Adornos,,Vitrina con abanico,100x10x60 (cm),https://atrezzovazquez.es/admin/img_prod/ADO1/ADO1-720x540.png
2,AFC1,Alfombra de cama,Dormitorio  ,Alfombrín de cama círculos azules,150x72x1 (cm),https://atrezzovazquez.es/admin/img_prod/AFC1/AFC1-720x540.png
3,AP1,Aparador,Alemán  Comedor  ,Aparador alemán 2 cuerpos,207x64x300 (cm),https://atrezzovazquez.es/admin/img_prod/AP1/AP1-720x540.png
4,AST1,Atrezzo astronomia,Astronomía  ,Pie de madera para astrolabio,78x78x130 (cm),https://atrezzovazquez.es/admin/img_prod/AST1/AST1-pie-720x540.png
5,TOR1,Tortura,Carcel  ,Silla eléctrica figurada,65x60x120 (cm),https://atrezzovazquez.es/admin/img_prod/TOR1/TOR1-1-720x540.png
6,ARC1,Arcon,Dormitorio  ,Arcón talla figuras vascas con tablero,136x54x80 (cm),https://atrezzovazquez.es/admin/img_prod/ARC1/ARC1-1-720x540.png
7,AR1,Armario,Dormitorio  ,Armario raíz y caoba 2 puertas espejo y cajones,150x57x225 (cm),https://atrezzovazquez.es/admin/img_prod/AR1/AR1-720x540.png
8,ARM1,Armero,Militar  ,Armero para fusiles con cajones,70x22x130 (cm),https://atrezzovazquez.es/admin/img_prod/ARM1/ARM1-1-720x540.png
9,ATD1,Ataud,,Ataúd de niño pintado crema con cruz,43x100x30 (cm),https://atrezzovazquez.es/admin/img_prod/ATD1/ATD1-1-720x540.png
10,ATR1,Atril,Religioso  ,Atril facistol columna torneada,70x70x170 (cm),https://atrezzovazquez.es/admin/img_prod/ATR1/ATR1-1-720x540.png
11,BL1,Balancin,Columpio  Jardín  ,Balancín de jardín 2 cojines,140x135x175 (cm),https://atrezzovazquez.es/admin/img_prod/BL1/BL1-1-720x540.png
12,BAC1,Banco,Portugues  ,Banco portugués respaldo alto torneado,154x53x185 (cm),https://atrezzovazquez.es/admin/img_prod/BAC1/BAC1-1-720x540.png
13,BAN1,Banqueta,Bambú  Jardín  ,Banqueta bambú cuadrada,36x36x54 (cm),https://atrezzovazquez.es/admin/img_prod/BAN1/BAN1-1-720x540.png
14,M1,Mesa,Jardín  ,Mesa jardín de rejilla tapa cristal,70x70x47 (cm),https://atrezzovazquez.es/admin/img_prod/M1/M1-1-720x540.png
15,BA1,Baño,Bañera  ,Bañera hierro fundido con patas garras doradas,181x80x70 (cm),https://atrezzovazquez.es/admin/img_prod/BA1/BA1-1-720x540.png
16,BAR1,Bargueño,Gótico  ,Bargueño gótico con tapa hierros con pie,95x35x150 (cm),https://atrezzovazquez.es/admin/img_prod/BAR1/BAR1-1-720x540.png
17,BRL1,Barril,Bar y cafetería  Rústico  ,Barril de madera grande,60x60x93 (cm),https://atrezzovazquez.es/admin/img_prod/BRL1/BRL1-1-720x540.png
18,BAS1,Bascula,Farmacia  Hospital  ,Báscula de farmacia forrada imitación madera,47x45x132 (cm),https://atrezzovazquez.es/admin/img_prod/BAS1/BAS1-1-720x540.png
19,BAU1,Baul,Americano  Viaje  ,Baúl armario americano verde,58x58x103 (cm),https://atrezzovazquez.es/admin/img_prod/BAU1/BAU1-1-720x540.png
20,BEB1,Bebé,Columpio  ,Columpio de bebé para puerta (saltador),1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BEB1/BEB1-720x540.png
21,PER1,Perchero,Español  Recibidor  ,Perchero de pared estilo español tallado cabezas,110x10x190 (cm),https://atrezzovazquez.es/admin/img_prod/PER1/PER1-720x540.png
22,ESC1,Escaleras,Tienda  ,Escalera de tijera pintada verde,50x90x140 (cm),https://atrezzovazquez.es/admin/img_prod/ESC1/ESC1-720x540.png
23,BIO1,Biombo,Dormitorio  ,Biombo 4 hojas tapizado rojo y oro con galón,240x5x170 (cm),https://atrezzovazquez.es/admin/img_prod/BIO1/BIO1-1-720x540.png
24,BIS1,Bis a bis,Salón  ,Bis a bis bambú nogal tapizado terciopelo rojo y azul,1x120x105 (cm),https://atrezzovazquez.es/admin/img_prod/BIS1/BIS1-1-720x540.png
25,BRA1,Brasero,Calefaccion  Medieval  ,Braseros pletina hierro de palo,30x30x40 (cm),https://atrezzovazquez.es/admin/img_prod/BRA1/BRA1-1-720x540.png
26,BUT1,Butaca de cine,Cine  Teatro  ,Fila de 5 asientos de butacas de cine pana roja,254x60x80 (cm),https://atrezzovazquez.es/admin/img_prod/BUT1/BUT1-1-720x540.png
27,CAB1,Caballete,Frances  Pintor  ,Caballete de pintor Luis XV dorado,75x75x215 (cm),https://atrezzovazquez.es/admin/img_prod/CAB1/CAB1-1-720x540.png
28,CAR1,Caja registradora,Tienda  ,Caja registradora MCR con cajón,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CAR1/CAR1-1-720x540.png
29,CF1,Caja fuerte,,Caja fuerte antigua con cajón y copete madera,70x40x128 (cm),https://atrezzovazquez.es/admin/img_prod/CF1/CF1-720x540.png
30,CAJ1,Caja,Cajas  Militar  ,Caja de madera gris interior CINC,42x40x34 (cm),https://atrezzovazquez.es/admin/img_prod/CAJ1/CAJ1-1-720x540.png
31,CA1,Cama,Cabecero  Dormitorio  ,Cabecero capitoné tapizado terciopelo marrón,173x6x156 (cm),https://atrezzovazquez.es/admin/img_prod/CA1/CA1-720x540.png
32,REC1,Reclinatorio,Iglesia  Religioso  ,Reclinatorio nogal terciopelo rojo con capilla tallada,68x95x186 (cm),https://atrezzovazquez.es/admin/img_prod/REC1/REC1-1-720x540.png
33,CARR1,Carretilla,Rústico  ,Carretilla de plataforma de madera,150x50x53 (cm),https://atrezzovazquez.es/admin/img_prod/CARR1/CARR1-1-720x540.png
34,CSE1,Carro de servicio,Jardín  Mimbre  ,Carro de servicio de caña,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CSE1/CSE1-1-720x540.png
35,CTN1,Catenaria,,Catenaria madera torneada con base cuadrada,24x24x110 (cm),https://atrezzovazquez.es/admin/img_prod/CTN1/CT1-720x540.png
36,CH1,Chaiselongue,Salón  ,Chaiselonge tapizada terciopelo burdeos con cojín,180x70x70 (cm),https://atrezzovazquez.es/admin/img_prod/CH1/CH1-720x540.png
37,CO1,Cocinas,Cocina  Electrodomestico  ,Cocina de gas 4 fuegos con 2 cajones BENAVENT,55x57x84 (cm),https://atrezzovazquez.es/admin/img_prod/CO1/CO1-2-720x540.png
38,COM1,Comoda,Dormitorio  Isabelino  ,Cómoda isabelina marquetería 4 cajones,135x63x100 (cm),https://atrezzovazquez.es/admin/img_prod/COM1/COM1-1-720x540.png
39,CON1,Consola,Frances  Recibidor  ,Consola Luis XVI pintada blanca y oro con chambrana,115x50x85 (cm),https://atrezzovazquez.es/admin/img_prod/CON1/CON1-1-720x540.png
40,COS1,,Costurero  ,Costurero nogal con bolsa cratona y cajón,54x30x65 (cm),https://atrezzovazquez.es/admin/img_prod/COS1/COS01.bmp
41,CU1,Cuadro,Palacio  Pintor  Retratos  ,Cuadro marco ancho madera fotografía Felipe III (Autor de la Cruz),137x10x240 (cm),https://atrezzovazquez.es/admin/img_prod/CU1/CU1-720x540.png
42,ANU1,Carteles y anuncios,Tienda  ,Bolsas de tiendas de papel antiguo,10x1x15 (cm),https://atrezzovazquez.es/admin/img_prod/ANU1/ANU1-720x540.png
43,ESP1,Espejo,Dormitorio  Frances  ,Espejo vestidor francés columnas torneadas,95x60x190 (cm),https://atrezzovazquez.es/admin/img_prod/ESP1/ESP1-720x540.png
44,ES1,Estanteria,Descatalogado  ,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/ES1/LOGOTIPO VAZQUEZ- 720x540.png
45,EST1,Estufa,Calefaccion  ,Estufa salamandra hierro negra,57x47x67 (cm),https://atrezzovazquez.es/admin/img_prod/EST1/EST1-720x540.png
46,ESTAT1,Estatua,Religioso  ,Estatua escayola imagen Santo,62x34x110 (cm),https://atrezzovazquez.es/admin/img_prod/ESTAT1/ESTAT1-1-720x540.png
47,ASP1,Aspiradoras,Electrodomestico  ,Aspiradora antigua acero con bolsa corinto,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ASP1/ASP1-720x540.png
48,GN1,Galan de noche,Dormitorio  ,Galán de noche nogal,40x40x137 (cm),https://atrezzovazquez.es/admin/img_prod/GN1/GN1-1-720X540.png
49,AGU1,Aguamaniles,Dormitorio  ,Aguamanil loza crema dibujo rosa,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/AGU1/AGU1-720x450.png
50,ADP1,Animales disecados en panoplia,,Cabeza de ciervo disecada auténtica,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ADP1/ADP1-1-720x540.png
51,F1,Fichero,Despacho  ,Fichero madera 4 cajones,53x65x133 (cm),https://atrezzovazquez.es/admin/img_prod/F1/F1-1-720x540.png
52,MUS1,Instrumentos musicales,Piano  ,Órgano eléctrico antiguo madera embero,95x40x87 (cm),https://atrezzovazquez.es/admin/img_prod/MUS1/MUS1-1-720x540.png
53,DPT1,Deporte,Gimnasio  ,Aparato saltador de hierro con muelle,70x15x100 (cm),https://atrezzovazquez.es/admin/img_prod/DPT1/GIM1 720x540.png
54,LAM1,Lámpara,Lámpara de mesa  Salón  ,Lámpara de mesa antigua chapa flor,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/LAM1/LAM1-720X540.png
55,FUM1,Artículos de fumador,Cajas  ,Cajas de puros diferentes,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/FUM1/FUM1-720x540.png
56,AZP1,Azulejos y platos de pared,Decoración  ,Azulejo de pared escena costumbrista marco forja hierro,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/AZP1/AZP1-720x540.png
57,BAD1,Bandejas,,Bandeja metal grabada,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BAD1/BAD1-720x540.png
58,BYC1,Atrezzo de bar y cafetería,Bar y cafetería  ,Jarras de cerveza de loza decorada,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BYC1/BYC1-720x540.png
59,COL1,Atrezzo colegio,Colegio  ,Estuches y plumieres antiguos,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/COL1/COL1-720x540.png
60,DES1,Atrezzo despacho,Despacho  Escribanías y tinteros  ,Escribanía de viaje nogal 2 tinteros,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/DES1/DES1(1)-720x540.png
61,ALA1,Alacena,Descatalogado  ,Descatalogado,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALA1/LOGOTIPO VAZQUEZ- 720x540.png
62,CST1,Moda y costura,Avíos de costura  ,Acerillo de costura,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CST1/CST1-720x540.png
63,VI1,Vitrina,Comedor  Salón  ,Vitrina rinconera nogal con mesa,71x71x165 (cm),https://atrezzovazquez.es/admin/img_prod/VI1/VI1-1-720x540.png
64,CEM1,Cementerio,Cruces  ,Cruz de cementerio de hierro forjado,53x15x100 (cm),https://atrezzovazquez.es/admin/img_prod/CEM1/CEM1-720X540.png
65,CHI1,Chimenea,,Avíos chimenea hierro.,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CHI1/CHI1-720x540.png
66,CRI1,Cristalería,Bomboneras  ,Bombonera de cristal con asa,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CRI1/CRI1-720x540.png
67,MC1,Macetero,Comedor  Gótico  Salón  ,Macetero gótico calado redondeles,40x40x97 (cm),https://atrezzovazquez.es/admin/img_prod/MC1/MC1-1-720x540.png
68,ME1,Mesilla,Dormitorio  Frances  ,Mesilla francesa con copete y tapa mármol,40x36x120 (cm),https://atrezzovazquez.es/admin/img_prod/ME1/ME1-1-720x540.png
69,VET1,Ventilador,,Ventilador de mesa pequeño antiguo aspas azules,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/VET1/VET1-720x540.png
70,REL1,Reloj,Inglesa  Salón  ,Reloj de pie inglés caoba,40x20x206 (cm),https://atrezzovazquez.es/admin/img_prod/REL1/REL1-1-720x540.png
71,TEL1,Telefonía,,Centralita antigua caja nogal,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TEL1/TEL1-2-720x540.png
72,MYN1,Maletas y neceseres de viaje,Viaje  ,Maletas skay marrón correas,55x40x25 (cm),https://atrezzovazquez.es/admin/img_prod/MYN1/MYN1-720x540.png
73,MYC1,Maletines y carteras,,Cartera skay amarillo,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYC1/MYC1-720x540.png
74,LYR1,Libros y revistas,,Misales,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/LYR1/LYR1-720x540.png
75,URN1,Urnas,,Urna antigua,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/URN1/URN1-720x540.png
76,TOC1,Objetos de tocador,Tocador  ,Botes de tocador plástico azul,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TOC1/TOC1-720x540.png
77,VAJ1,Vajilla,Comedor  ,Vajilla loza Cartuja negra (12 servicios),0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAJ1/VAJ1-720x540.png
78,JUG1,Juguetes,Juguete  ,Juego Basquet-Car con su caja,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JUG1/JUG1-720x540.png
79,JAR1,Jarrones y jarras,Adorno  Decoración  Salón  ,Jarra cobrizada baja asa metal,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JAR1/JAR1-720x540.png
80,LOG1,Logicine,Hospital  ,Mesilla hospital chapa blanca,50x44x87 (cm),https://atrezzovazquez.es/admin/img_prod/LOG1/LOG1-1-720x540.png
81,TYV1,Televisores y vídeos,Televisor  ,Televisión portátil roja Grundig (color),47x40x35 (cm),https://atrezzovazquez.es/admin/img_prod/TYV1/TYV1-1-720x540.png
82,MYS1,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido  ,Altavoces caja madera frontal negro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYS1/MYS1-720x540.png
83,SOM1,Sombrereras,Viaje  ,Sombrereras actuales,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/SOM1/SOM1-720x540.png
84,TP1,Tapices y estandartes,Iglesia  Medieval  ,Tapiz pintado religioso Pantocrator,180x0x275 (cm),https://atrezzovazquez.es/admin/img_prod/TP1/TP1-720x540.png
85,ML1,Librería,Despacho  Inglesa  ,Librería despacho ingles caoba puertas cristal,105x69x175 (cm),https://atrezzovazquez.es/admin/img_prod/ML1/ML1-1-720x540.png
86,JUZ1,Juzgado,Juzgados  ,Estrado de juzgado madera tallado de 3 metros,300x73x87 (cm),https://atrezzovazquez.es/admin/img_prod/JUZ1/JUZ1-720x540-removebg-preview.png
87,MED1,Atrezzo medicina,Hospital  Medicina  ,Juego de jeringuillas antiguo,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MED1/MED1-720x540.png
88,HOS1,Hospitales,Hospital  Medicina  ,Banqueta de hospital giratoria asiento skay,32x32x50 (cm),https://atrezzovazquez.es/admin/img_prod/HOS1/HOS1-720x540.png
89,VAA1,Atrezzo vario,Adorno  Varios cocina  ,Alambique de cobre,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAA1/VAA1-720x540.png
90,GRA1,Gramófonos y gramolas,Musica  ,Gramófono repujado con bocina,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/GRA1/GRA1-720x540.png
91,ARA1,Atrezzo Árabe,Arabe  ,Mesa árabe ochavada tapa marquetería,108x60x77 (cm),https://atrezzovazquez.es/admin/img_prod/ARA1/ARA1-1-720x540.png
92,SI1,Sillón,Isabelino  Salón  Sillería  ,Sillón isabelino caoba tapizado tela rayas,65x60x115 (cm),https://atrezzovazquez.es/admin/img_prod/SI1/SI1-1-720x540.png
93,RAD1,Radios,Descatalogado  ,Descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/RAD1/LOGOTIPO VAZQUEZ- 720x540.png
94,JAM1,Jamuga,Navidad  ,Jamuga dorada cabezas y garras tapizada terciopelo rojo,110x60x145 (cm),https://atrezzovazquez.es/admin/img_prod/JAM1/JAM1-1-720x540.png
95,MV1,Muebles varios,Chifonier  Frances  ,Chifonier francés caoba y bronce,55x35x146 (cm),https://atrezzovazquez.es/admin/img_prod/MV1/MV1-1-720x540.png
96,JAU1,Jaula,,Jaula grande de caña,70x70x190 (cm),https://atrezzovazquez.es/admin/img_prod/JAU1/JAU1-720x540.png
97,JUE1,Juego,Casino  ,Ruleta de casino de madera y metal auténtica,80x80x25 (cm),https://atrezzovazquez.es/admin/img_prod/JUE1/JUE1-720x540.png
98,JU1,Juguetero,,Juguetero caoba puertas marquetería y espejo,85x36x175 (cm),https://atrezzovazquez.es/admin/img_prod/JU1/JU1-1-720x540.png
99,SIL1,Silla,Isabelino  Sillería  ,Silla isabelina caoba tapizada tela rayas,50x50x100 (cm),https://atrezzovazquez.es/admin/img_prod/SIL1/SIL1 (HAY 4) 720x540.png
100,LM1,Litera de mano,Edad media  ,Litera de transporte tapizada damasco rojo,72x90x163 (cm),https://atrezzovazquez.es/admin/img_prod/LM1/LM1-1-720X540.png
101,MEC1,Mecedora,Curvado  ,Mecedora curvada nogal tapizada skay verde,55x100x100 (cm),https://atrezzovazquez.es/admin/img_prod/MEC1/MEC1-1-720x540.png
102,MOS1,Mostrador,Tienda  ,Mostrador de tienda de nogal con altillo (se le puede añadir una parte adicional para elevarlo),190x50x124 (cm),https://atrezzovazquez.es/admin/img_prod/MOS1/MOS1-1-720x540.png
103,S1,Sofá,Isabelino  Salón  Sillería  ,Sofá isabelino caoba tapizado tela rayas,180x65x80 (cm),https://atrezzovazquez.es/admin/img_prod/S1/S1-1-720x540.png
104,ILU1,Iluminación,Calle  ,Cabezas de farol de calle,36x36x80 (cm),https://atrezzovazquez.es/admin/img_prod/ILU1/ILU001__MOU021___HAY_7_-removebg-preview.png
105,PV1,Pie de vela,Hachero  Iglesia  Medieval  ,Hachero de suelo hierro aro calado 7 luces con pincho,63x63x205 (cm),https://atrezzovazquez.es/admin/img_prod/PV1/PV1-720x540.png
106,SEC1,Secreter,Americano  Salón  ,Bureau marquetería con cajones,123x53x100 (cm),https://atrezzovazquez.es/admin/img_prod/SEC1/SEC1-1-720x540.png
107,PEL1,Peluquería,,Sillón de peluquería tapizado skay negro con secador,60x70x150 (cm),https://atrezzovazquez.es/admin/img_prod/PEL1/PEL1-1-720x540.png
108,SR1,Silla de ruedas,Hospital  ,Silla de inválido de calle,150x75x110 (cm),https://atrezzovazquez.es/admin/img_prod/SR1/SR1-720x540.png
109,PC1,Pizarra,Colegio  ,Pizarra de colegio marco madera claro,250x5x123 (cm),https://atrezzovazquez.es/admin/img_prod/PC1/PC1-720x540.png
110,BUZ1,Buzones,Portal  ,Bloque de 25 buzones madera y metal,163x10x107 (cm),https://atrezzovazquez.es/admin/img_prod/BUZ1/BUZ1-1-720x540.png
111,CAM1,Cámara fotos y vídeo,Cámaras de fotos  ,Cámara de fotos antigua figurada con pie,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CAM1/CAM1-720x540.png
112,QIN1,Quinqués,,Quinqué alabastro forma copa,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/QIN1/QIN1-720x540.png
113,REV1,Revistero,Salón  ,Revistero dorado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/REV1/REV1-1-720x540.png
114,MOU1,Mobiliario urbano,Descatalogado  ,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MOU1/LOGOTIPO VAZQUEZ- 720x540.png
115,CDM1,Centro de mesa,Adorno  ,Centro de mesa de alabastro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CDM1/CDM1-720x540.png
116,PAP1,Papelera,,Papelera de chapa amarilla,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PAP1/PAP1-720x540.png
117,FIG1,Figuras,Adorno  ,Caparazón de armadillo,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/FIG1/FIG1-720x540.png
118,PLA1,Playa,Hamaca  Jardín  ,Hamaca de madera con tela de rayas,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PLA1/PLA1-1-720x540.png
119,REG1,Religión,Iglesia  ,Adorno religioso de altar de metal,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/REG1/REG1-720x540.png
120,RU1,Rural,Rústico  Artesa  ,Artesa madera con pie,110x51x61 (cm),https://atrezzovazquez.es/admin/img_prod/RU1/RU1-720x540.png
121,PAR1,Paragüero,,Paragüero metal aro calado,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/PAR1/PAR1-720x540.png
122,GUA1,Guarnición,Imperio  ,Guarnición imperio mármol y bronce con reloj y 2 candelabros,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/GUA1/GUA1-720x540.png
123,PUR1,Puerta,Carcel  ,Puerta de cárcel de hierro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PUR1/PUR1-720x540.png
124,ALA2,Alacena,Cocina  Español  ,Alacena-armario de cuarterones,106x38x175 (cm),https://atrezzovazquez.es/admin/img_prod/ALA2/ALA2-1-720x540.png
125,ALF2,Alfombra,Arabe  Comedor  Salón  ,Alfombra persa roja,215x165x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALF2/ALF2-1-720x540.png
126,CDM2,Centro de mesa,Adorno  ,Centro de mesa alabastro filo metal,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CDM2/CDM2-720x540.png
127,AFC2,Alfombra de cama,Dormitorio  ,Alfombrín de cama rojo dibujos infantiles,97x80x1 (cm),https://atrezzovazquez.es/admin/img_prod/AFC2/AFC2-720x540.png
128,AP2,Aparador,Alemán  Comedor  ,"Trinchero alemán con copete, juego AP1",140x80x180 (cm),https://atrezzovazquez.es/admin/img_prod/AP2/AP2-1-720x540.png
129,AST2,Atrezzo astronomia,Astronomía  ,Pie de madera torneado para astrolabio,130x78x125 (cm),https://atrezzovazquez.es/admin/img_prod/AST2/AST2-pie-720x540.png
130,TOR2,Tortura,Carcel  ,Garrote vil figurado,50x50x190 (cm),https://atrezzovazquez.es/admin/img_prod/TOR2/TOR2-1-720x540.png
131,ARC2,Arcon,Descatalogado  ,,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ARC2/LOGOTIPO VAZQUEZ- 720x540.png
132,AR2,Armario,Dormitorio  Inglesa  ,Armario inglés caoba puerta central espejo,175x53x230 (cm),https://atrezzovazquez.es/admin/img_prod/AR2/AR2-720x540.png
133,ARM2,Armero,Militar  ,Armero de fusiles de pared,67x18x95 (cm),https://atrezzovazquez.es/admin/img_prod/ARM2/ARM2-720x540.png
134,ATD2,Ataud,,Ataud figurado pino 2 tapas (Drácula),60x68x175 (cm),https://atrezzovazquez.es/admin/img_prod/ATD2/ATD2-1-720x540.png
135,ATR2,Atril,Religioso  ,Atril de pino columnas torneadas,75x85x115 (cm),https://atrezzovazquez.es/admin/img_prod/ATR2/ATR2-1-720x540.png
136,BL2,Balancin,Juguete  Columpio  ,Caballito balancín de niño,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BL2/BL2-1-720x540.png
137,BAC2,Banco,Gótico  ,Banco gótico cerrado con arcos y columnas,175x50x260 (cm),https://atrezzovazquez.es/admin/img_prod/BAC2/BAC2-1-720x540.png
138,BAN2,Banqueta,,Banqueta de pie a juego sillón asirio SI-221,50x38x24 (cm),https://atrezzovazquez.es/admin/img_prod/BAN2/BAN2-1-720x540.png
139,M2,Mesa,Jardín  ,Mesa de jardín tapa mármol figurado verde,90x90x71 (cm),https://atrezzovazquez.es/admin/img_prod/M2/M2-1-720x540.png
140,BA2,Baño,Bañera  ,Funda de cobre bañada en hierro,166x75x80 (cm),https://atrezzovazquez.es/admin/img_prod/BA2/BA2-1-720x540.png
141,BAR2,Bargueño,Gótico  ,Bargueño gótico tallado sin tapa con pie,95x30x150 (cm),https://atrezzovazquez.es/admin/img_prod/BAR2/BAR2-1-720x540.png
142,BRL2,Barril,Bar y cafetería  Rústico  ,Barril de madera mediano,50x50x88 (cm),https://atrezzovazquez.es/admin/img_prod/BRL2/BRL2-1-720x540.png
143,BAS2,Bascula,Mercado  ,Báscula de mercado con plataforma,45x75x155 (cm),https://atrezzovazquez.es/admin/img_prod/BAS2/BAS2-720x540.png
144,BAU2,Baul,Viaje  Americano  ,Baúl americano rojo inglés,104x56x35 (cm),https://atrezzovazquez.es/admin/img_prod/BAU2/BAU2-1-720x540.png
145,BEB2,Bebé,Cochecito  ,Cochecito de bebé medio cuco con capota azul,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BEB2/BEB2-1-720x540.png
146,PER2,Perchero,Recibidor  ,Perchero de pared de roble con barras de metal,120x15x198 (cm),https://atrezzovazquez.es/admin/img_prod/PER2/PER2-1-720x540.png
147,ESC2,Escaleras,Tienda  ,Escalera de tijera de madera,43x80x139 (cm),https://atrezzovazquez.es/admin/img_prod/ESC2/ESC2-720x540.png
148,BIO2,Biombo,Dormitorio  Imperio  ,Biombo imperio 3 hojas ovalo tela seda flores,150x40x195 (cm),https://atrezzovazquez.es/admin/img_prod/BIO2/BIO2-720x540.png
149,BIS2,Bis a bis,Salón  ,Bis a bis torneado oro,82x43x80 (cm),https://atrezzovazquez.es/admin/img_prod/BIS2/BIS2-1-720x540.png
150,BRA2,Brasero,Calefaccion  Medieval  ,Brasero pletina hierro de suelo,75x40x70 (cm),https://atrezzovazquez.es/admin/img_prod/BRA2/BRA2-1-720x540.png
151,BUT2,Butaca de cine,Cine  Teatro  ,Fila de 4 asientos de butacas de cine pana roja,200x60x80 (cm),https://atrezzovazquez.es/admin/img_prod/BUT2/BUT2-1-720x540.png
152,CAB2,Caballete,Pintor  ,Caballete de estudio madera oscuro,70x70x176 (cm),https://atrezzovazquez.es/admin/img_prod/CAB2/CAB2-1-720x540.png
153,CAR2,Caja registradora,Tienda  ,Caja registradora marrón NATIONAL,56x41x52 (cm),https://atrezzovazquez.es/admin/img_prod/CAR2/CAR2-1 720x540.png
154,CF2,Caja fuerte,,Caja fuerte antigua hierro,71x43x95 (cm),https://atrezzovazquez.es/admin/img_prod/CF2/CF2-1-720x540.png
155,CAJ2,Caja,Descatalogado  ,Descatalogado,1x1x30 (cm),https://atrezzovazquez.es/admin/img_prod/CAJ2/LOGOTIPO VAZQUEZ- 720x540.png
156,CA2,Cama,Cabecero  Dormitorio  ,Cabecero forma tapizado raso marón,110x6x130 (cm),https://atrezzovazquez.es/admin/img_prod/CA2/CA2-720x540.png
157,REC2,Reclinatorio,Iglesia  Religioso  ,Reclinatorio nogal tallado tapizado terciopelo rojo con cruz,47x45x80 (cm),https://atrezzovazquez.es/admin/img_prod/REC2/REC2-1-720x540.png
158,CARR2,Carretilla,Rústico  ,Carretilla de madera con cajón,170x70x75 (cm),https://atrezzovazquez.es/admin/img_prod/CARR2/CARR2-1-720x540.png
159,CSE2,Carro de servicio,Cocina  Comedor  Salón  ,Carro de servicio de madera oscura con asa.,90x40x68 (cm),https://atrezzovazquez.es/admin/img_prod/CSE2/CSE2-1-720X540.png
160,LOG2,Logicine,Jardín  ,Macetón fibra marrón,65x65x80 (cm),https://atrezzovazquez.es/admin/img_prod/LOG2/LOG2 (HAY 2)-720x540.png
161,CTN2,Catenaria,,Catenaria tubo hierro negro cinta extensible.,30x30x98 (cm),https://atrezzovazquez.es/admin/img_prod/CTN2/CT2-720x540.png
